;Walt Disney Pictures;7.7
1917;Universal Pictures;8.3
A hora do pesadelo;New Line Cinema;7.5
Ad Astra;20th Century Fox;6.6
Adoráveis Mulheres;Sony Pictures;7.9
Annabelle;Warner Bros;5.4
Arraste-me para o Inferno;Universal Pictures;6.6
As Branquelas;Columbia Pictures;5.6
As Golpistas;STX Entertainment;6.3
Atividade Paranormal;Paramount Pictures;6.3
Atividade Paranormal 2;Paramount Pictures;5.6
Atividade Paranormal 3;Paramount Pictures;5.8
Atividade Paranormal 4;Paramount Pictures;4.6
Atividade Paranormal: Dimensão Fantasma;Paramount Pictures;4.6
Atividade Paranormal: Especial de Natal;Paramount Pictures;5
Atividade Paranormal: Marcados pelo Mal;Paramount Pictures;5
Atividade Paranormal: Tóquio;Paramount Pictures;5.2
Avatar;20th Century Fox;7.4
Brinquedo Assassino;United Artists;6.6
Capitão América: Guerra Civil;Marvel Studios;7.8
Carrie, a Estranha;United Artists;7.4
Corrente do Mal;RADiUS-TWC;6.8
Entre Facas e Segredos;Lionsgate;7.9
Eu sei o que vocês fizeram no verão passado;Columbia Pictures;5.7
Ford vs Ferrari;20th Century Fox;8.1
Frozen: Uma Aventura Congelante;Walt Disney Pictures;7.3
Guardiões da Galáxia;Marvel Studios;7.9
Harry Potter e as Relíquias da Morte - Parte 2;Warner Bros;8.1
História de um Casamento;Netflix;8
Homem de Ferro 3;Marvel Studios;7.2
Interestelar;Paramount Pictures;8.6
Invocação do Mal;Warner Bros;7.5
Invocação do Mal 2;Warner Bros;7.3
Jogos Mortais;Lionsgate;7.6
Jojo Rabbit;Fox Searchlight Pictures;8
Jumanji: Próxima Fase;Columbia Pictures;6.7
Jurassic World: O Mundo dos Dinossauros;Universal Pictures;6.6
Minions;Universal Pictures;6.4
Norbit;DreamWorks;4.1
O Chamado;DreamWorks;6.8
O Exorcista;Warner Bros;8
O Iluminado;Warner Bros;8.4
O Poderoso Chefão;Paramount Pictures;9.2
O Poderoso Chefão: Parte II;Paramount Pictures;9
O Poderoso Chefão: Parte III;Paramount Pictures;7.6
Os Incríveis;Walt Disney Pictures;7.6
Os Vingadores;Marvel Studios;7.7
Parasita;CJ Entertainment;8.6
Piratas do Caribe: A Maldição do Pérola Negra;Walt Disney Pictures;8
Piratas do Caribe: Navegando em Águas Misteriosas;Walt Disney Pictures;6.6
Piratas do Caribe: No Fim do Mundo;Walt Disney Pictures;7.1
Piratas do Caribe: O Baú da Morte;Walt Disney Pictures;7.3
Poltergeist;MGM;7.3
Poltergeist - O Fenômeno;MGM;7.3
Premonição;New Line Cinema;6.7
Procurando Dory;Walt Disney Pictures;7.3
Procurando Nemo;Walt Disney Pictures;7.6
Psicose;Paramount Pictures;8.5
Pânico;Dimension Films;7.2
Titanic;Paramount Pictures;7.8
Velozes e Furiosos 4;Universal Pictures;6.6
Velozes e Furiosos 5: Operação Rio;Universal Pictures;7.3
Velozes e Furiosos 6;Universal Pictures;6.7
Velozes e Furiosos 7;Universal Pictures;7.1
Velozes e Furiosos 8;Universal Pictures;6.7
Vingadores: Era de Ultron;Marvel Studios;7.3
Zootopia: Essa Cidade é o Bicho;Walt Disney Pictures;7.7
